Source,Target,Weight
謂/verb,言/verb,4
言/noun,知/verb,4
知/verb,言/noun,4
以/verb,信/verb,4
信/verb,以/verb,4
人/noun,大/verb,4
大/verb,人/noun,4
思/verb,敬/verb,4
敬/verb,思/verb,4
云/verb,樂/noun,4
樂/noun,云/verb,4
色/noun,仁/noun,3
仁/noun,色/noun,3
人/noun,民/noun,3
使/verb,以/verb,3
民/noun,人/noun,3
以/verb,使/verb,3
有/verb,遠/verb,3
遠/verb,有/verb,3
未/adv,君子/noun,3
君子/noun,未/adv,3
邦/noun,聞/verb,3
聞/verb,邦/noun,3
則/adv,出/verb,3
出/verb,則/adv,3
學/verb,文/noun,3
文/noun,學/verb,3
如/verb,過/noun,3
過/noun,如/verb,3
以/verb,得/verb,3
得/verb,以/verb,3
得/verb,夫子/noun,3
夫子/noun,得/verb,3
雖/adv,曰/verb,3
曰/verb,雖/adv,3
曰/verb,未/adv,3
未/adv,曰/verb,3
道/noun,謂/verb,3
謂/verb,道/noun,3
義/noun,言/noun,3
言/noun,義/noun,3
失/verb,亦/adv,3
亦/adv,失/verb,3
可/verb,未/adv,3
未/adv,可/verb,3
好/verb,禮/noun,3
禮/noun,好/verb,3
求/verb,居/verb,3
居/verb,求/verb,3
有/verb,正/verb,3
正/verb,有/verb,3
德/noun,如/verb,3
如/verb,德/noun,3
知/verb,命/noun,3
天/noun,命/noun,3
命/noun,知/verb,3
命/noun,天/noun,3
禮/noun,有/verb,3
有/verb,禮/noun,3
敬/verb,以/verb,3
以/verb,敬/verb,3
行/verb,言/noun,3
行/verb,後/noun,3
言/noun,行/verb,3
後/noun,行/verb,3
思/verb,則/adv,3
則/adv,思/verb,3
以/verb,如/verb,3
如/verb,以/verb,3
知/verb,大/verb,3
大/verb,知/verb,3
何/adv,以/verb,3
以/verb,何/adv,3
多/verb,聞/verb,3
聞/verb,多/verb,3
言/verb,則/adv,3
則/adv,言/verb,3
多/verb,見/verb,3
見/verb,多/verb,3
天/noun,子/noun,3
子/noun,天/noun,3
仁/verb,如/verb,3
如/verb,仁/verb,3
如/verb,禮/noun,3
禮/noun,如/verb,3
如/verb,樂/noun,3
樂/noun,如/verb,3
君/noun,如/verb,3
如/verb,君/noun,3
臣/noun,事/verb,3
事/verb,臣/noun,3
事/verb,以/verb,3
以/verb,事/verb,3
事/noun,說/verb,3
說/verb,事/noun,3
然/verb,則/adv,3
則/adv,然/verb,3
下/noun,無/verb,3
無/verb,下/noun,3
好/verb,人/noun,3
人/noun,好/verb,3
仁/noun,無/verb,3
無/verb,仁/noun,3
無/verb,惡/noun,3
惡/noun,無/verb,3
聞/verb,道/noun,3
道/noun,聞/verb,3
道/noun,死/verb,3
死/verb,道/noun,3
人/noun,過/noun,3
過/noun,人/noun,3
夫子/noun,道/noun,3
道/noun,夫子/noun,3
見/verb,好/verb,3
見/verb,仁/noun,3
好/verb,見/verb,3
仁/noun,見/verb,3
以/verb,惡/noun,3
惡/noun,以/verb,3
身/noun,有/verb,3
有/verb,身/noun,3
有/verb,用/verb,3
用/verb,有/verb,3
有/verb,見/verb,3
見/verb,有/verb,3
以/verb,立/verb,3
立/verb,以/verb,3
道/noun,得/verb,3
得/verb,道/noun,3
惡/verb,以/verb,3
以/verb,惡/verb,3
君子/noun,義/noun,3
義/noun,君子/noun,3
未/adv,信/verb,3
信/verb,未/adv,3
君子/noun,焉/adv,3
焉/adv,君子/noun,3
求/verb,如/verb,3
如/verb,求/verb,3
焉/adv,得/verb,3
得/verb,焉/adv,3
聞/verb,以/verb,3
聞/verb,知/verb,3
以/verb,聞/verb,3
知/verb,聞/verb,3
亦/adv,無/verb,3
無/verb,亦/adv,3
今/noun,人/noun,3
人/noun,今/noun,3
得/verb,聞/verb,3
聞/verb,得/verb,3
未/adv,知/verb,3
知/verb,未/adv,3
民/noun,義/noun,3
義/noun,民/noun,3
無/verb,色/noun,3
色/noun,無/verb,3
言/verb,志/noun,3
志/noun,言/verb,3
則/adv,曰/verb,3
曰/verb,則/adv,3
居/verb,行/verb,3
行/verb,居/verb,3
仁/noun,則/adv,3
則/adv,仁/noun,3
使/verb,從/verb,3
從/verb,使/verb,3
求/verb,從/verb,3
從/verb,求/verb,3
非/adv,子/noun,3
子/noun,非/adv,3
善/verb,為/verb,3
為/verb,善/verb,3
則/adv,在/verb,3
在/verb,則/adv,3
以/verb,未/adv,3
未/adv,以/verb,3
死/verb,無/verb,3
無/verb,死/verb,3
年/noun,以/verb,3
以/verb,年/noun,3
人/noun,行/verb,3
行/verb,人/noun,3
行/verb,必/adv,3
必/adv,行/verb,3
子/noun,以/verb,3
以/verb,子/noun,3
行/verb,子/noun,3
子/noun,行/verb,3
仁/noun,欲/verb,3
欲/verb,仁/noun,3
謂/verb,德/noun,3
德/noun,謂/verb,3
下/noun,民/noun,3
民/noun,下/noun,3
善/verb,君子/noun,3
君子/noun,善/verb,3
事/noun,有/verb,3
有/verb,事/noun,3
遠/verb,仁/verb,3
仁/verb,遠/verb,3
如/verb,及/verb,3
及/verb,如/verb,3
有/verb,臣/noun,3
臣/noun,有/verb,3
學/verb,無/verb,3
無/verb,學/verb,3
居/verb,下/noun,3
下/noun,居/verb,3
大/verb,為/verb,3
為/verb,大/verb,3
事/noun,君子/noun,3
君子/noun,事/noun,3
在/verb,天/noun,3
天/noun,在/verb,3
君子/noun,居/verb,3
居/verb,君子/noun,3
臣/noun,為/verb,3
為/verb,臣/noun,3
死/verb,子/noun,3
子/noun,死/verb,3
則/adv,事/verb,3
事/verb,則/adv,3
非/adv,人/noun,3
夫/noun,人/noun,3
人/noun,非/adv,3
人/noun,夫/noun,3
未/adv,人/noun,3
事/verb,焉/adv,3
人/noun,未/adv,3
焉/adv,事/verb,3
人/noun,言/verb,3
言/verb,人/noun,3
言/noun,必/adv,3
必/adv,言/noun,3
亦/adv,言/verb,3
言/verb,亦/adv,3
死/verb,有/verb,3
有/verb,死/verb,3
從/verb,大/verb,3
從/verb,夫/noun,3
大/verb,從/verb,3
大/verb,後/noun,3
夫/noun,從/verb,3
夫/noun,後/noun,3
後/noun,大/verb,3
後/noun,夫/noun,3
在/verb,聞/verb,3
聞/verb,在/verb,3
謂/verb,臣/noun,3
大/verb,臣/noun,3
臣/noun,謂/verb,3
臣/noun,大/verb,3
問/verb,聞/verb,3
